iter	Accuracy	MultiClass
0	0.3961103961	2.164860627
1	0.4644644645	2.058014959
2	0.4912054912	1.98243248
3	0.5185185185	1.899078237
4	0.5338195338	1.834035967
5	0.5526955527	1.770375055
6	0.5608465608	1.717627757
7	0.5784355784	1.66624033
8	0.599027599	1.618833603
9	0.606034606	1.581849331
10	0.6121836122	1.541058728
11	0.6244816245	1.499779423
12	0.6322036322	1.463829924
13	0.6372086372	1.436731303
14	0.6453596454	1.408058864
15	0.6515086515	1.381309965
16	0.6547976548	1.35777089
17	0.6610896611	1.333306063
18	0.6662376662	1.309758282
19	0.6695266695	1.286941022
20	0.6745316745	1.2661231
21	0.6751036751	1.246077905
22	0.6776776777	1.226155802
23	0.6838266838	1.209989823
24	0.6886886887	1.188160438
25	0.6914056914	1.171323338
26	0.6935506936	1.156771843
27	0.6955526956	1.14463274
28	0.7027027027	1.126668195
29	0.7092807093	1.112382517
30	0.710996711	1.100369332
31	0.7131417131	1.088921841
32	0.716001716	1.079447842
33	0.7172887173	1.067781495
34	0.7207207207	1.056258283
35	0.7248677249	1.041933318
36	0.727012727	1.030726973
37	0.7304447304	1.021516295
38	0.7318747319	1.011908176
39	0.7338767339	1.001523336
40	0.7361647362	0.9905639388
41	0.738023738	0.9806039131
42	0.7417417417	0.9712779103
43	0.7448877449	0.9592156424
44	0.7463177463	0.9506018227
45	0.7478907479	0.9445254432
46	0.7486057486	0.9364348587
47	0.7496067496	0.9287960202
48	0.7516087516	0.9218413383
49	0.7536107536	0.9150497571
50	0.7566137566	0.9063311448
51	0.7597597598	0.8973364275
52	0.76004576	0.8890837177
53	0.7629057629	0.8839851121
54	0.7673387673	0.8734389637
55	0.7686257686	0.8650441486
56	0.7701987702	0.8591597185
57	0.7742027742	0.8526713931
58	0.7770627771	0.8465603212
59	0.7804947805	0.8388935891
60	0.7842127842	0.830685164
61	0.7880737881	0.8219221543
62	0.7882167882	0.8163656642
63	0.7900757901	0.8100402616
64	0.7916487916	0.8049783896
65	0.7946517947	0.7991968598
66	0.7950807951	0.7932921209
67	0.7985127985	0.7878200873
68	0.7993707994	0.7819479697
69	0.8015158015	0.7759939725
70	0.8020878021	0.7716118159
71	0.8028028028	0.7667344817
72	0.8056628057	0.7602926094
73	0.8082368082	0.7533662764
74	0.811954812	0.7486110767
75	0.8118118118	0.7432213758
76	0.8128128128	0.7396474237
77	0.8140998141	0.7347811203
78	0.8175318175	0.7293915665
79	0.8196768197	0.7251180594
80	0.8206778207	0.7197188405
81	0.8225368225	0.7161517459
82	0.826969827	0.7084507113
83	0.8286858287	0.7029502261
84	0.82997283	0.6995286914
85	0.8305448305	0.6953064315
86	0.82997283	0.6928165838
87	0.831974832	0.6888616535
88	0.8326898327	0.6853031365
89	0.8346918347	0.6793201906
90	0.8368368368	0.6755595821
91	0.8382668383	0.6719887082
92	0.8402688403	0.6675658614
93	0.8401258401	0.6624804067
94	0.8426998427	0.6599358277
95	0.8425568426	0.6565715678
96	0.8434148434	0.6535593285
97	0.8438438438	0.6501650599
98	0.8455598456	0.645777646
99	0.8462748463	0.6423781081
100	0.8475618476	0.6394017743
101	0.8502788503	0.6365854782
102	0.8511368511	0.6334615375
103	0.8522808523	0.6296604641
104	0.8535678536	0.6273131021
105	0.8551408551	0.6244140455
106	0.8561418561	0.6192379273
107	0.8574288574	0.6168682337
108	0.8585728586	0.6137748118
109	0.8591448591	0.6121972995
110	0.859001859	0.6093286262
111	0.8598598599	0.6062731532
112	0.8611468611	0.6034207174
113	0.8618618619	0.6002265464
114	0.8635778636	0.59750698
115	0.865007865	0.5936769929
116	0.8665808666	0.5900480276
117	0.8678678679	0.586557061
118	0.8685828686	0.5849014297
119	0.8691548692	0.580908348
120	0.8702988703	0.5778906649
121	0.8707278707	0.5759545907
122	0.8715858716	0.5724836132
123	0.8718718719	0.5701699575
124	0.8734448734	0.5674605902
125	0.8734448734	0.5650873103
126	0.8748748749	0.5621100998
127	0.877019877	0.5572012772
128	0.878020878	0.5553679041
129	0.8778778779	0.5533989275
130	0.879021879	0.5511238688
131	0.8794508795	0.5490328615
132	0.8813098813	0.5460295095
133	0.882024882	0.5432320008
134	0.882024882	0.5419059512
135	0.8824538825	0.5388170557
136	0.8827398827	0.5373865938
137	0.8838838839	0.5354982702
138	0.8848848849	0.5329617572
139	0.8845988846	0.530572817
140	0.8854568855	0.5269770209
141	0.8861718862	0.5244853764
142	0.887029887	0.523120007
143	0.8871728872	0.5209481609
144	0.8886028886	0.5185390967
145	0.8891748892	0.5166009461
146	0.8886028886	0.5150309383
147	0.8897468897	0.5138090378
148	0.8904618905	0.5123352461
149	0.8913198913	0.5108428983
150	0.8921778922	0.5077432299
151	0.8934648935	0.5042630946
152	0.8934648935	0.5028363621
153	0.8956098956	0.4998913229
154	0.8954668955	0.4977165217
155	0.896038896	0.4960521578
156	0.8978978979	0.4923730484
157	0.8974688975	0.4901031153
158	0.8984698985	0.4886794621
159	0.9000429	0.4866044686
160	0.901043901	0.4849971991
161	0.9011869012	0.4831340162
162	0.9027599028	0.4807279477
163	0.9034749035	0.4787828095
164	0.9033319033	0.4765245142
165	0.9041899042	0.4745638672
166	0.9056199056	0.4729142428
167	0.9061919062	0.4705107907
168	0.9071929072	0.4684480493
169	0.9076219076	0.4659328036
170	0.9084799085	0.46466787
171	0.9093379093	0.4625614403
172	0.9091949092	0.4609919795
173	0.9097669098	0.4581973726
174	0.9099099099	0.4569999838
175	0.9113399113	0.4541352329
176	0.9111969112	0.4525436998
177	0.9113399113	0.4513917444
178	0.9120549121	0.4493858266
179	0.9124839125	0.4484280261
180	0.9129129129	0.447222532
181	0.9130559131	0.4445996411
182	0.9129129129	0.4431841281
183	0.9133419133	0.4416370834
184	0.9143429143	0.4397043045
185	0.9140569141	0.4380572256
186	0.9149149149	0.4365830579
187	0.9153439153	0.434647451
188	0.9156299156	0.4330886327
189	0.9156299156	0.4315539532
190	0.9156299156	0.4299629612
191	0.9160589161	0.4280156642
192	0.9169169169	0.4266149292
193	0.9172029172	0.4245173335
194	0.9180609181	0.4223435155
195	0.9196339196	0.4197090085
196	0.9202059202	0.4182662181
197	0.9207779208	0.4168237367
198	0.9212069212	0.4159539214
199	0.9216359216	0.4146557742
200	0.9219219219	0.4124770614
201	0.9229229229	0.4107009493
202	0.9233519234	0.4093515609
203	0.9233519234	0.4070685291
204	0.9243529244	0.4057560829
205	0.9244959245	0.4042603935
206	0.9244959245	0.403775708
207	0.9256399256	0.4013713383
208	0.9264979265	0.3996471613
209	0.9279279279	0.3964477594
210	0.9279279279	0.3951868034
211	0.9287859288	0.394166562
212	0.9287859288	0.3930897091
213	0.9290719291	0.3922472527
214	0.9299299299	0.391747502
215	0.9297869298	0.3904356104
216	0.9297869298	0.3889887984
217	0.9297869298	0.3877381014
218	0.9303589304	0.3869056059
219	0.9310739311	0.3856265402
220	0.9316459316	0.3845188864
221	0.9317889318	0.3832712985
222	0.9323609324	0.3812554651
223	0.9325039325	0.3799997192
224	0.9330759331	0.3786507738
225	0.9336479336	0.3770018953
226	0.9340769341	0.3757605646
227	0.9340769341	0.3747798057
228	0.9345059345	0.373846767
229	0.9345059345	0.3721571649
230	0.9345059345	0.3717063407
231	0.9350779351	0.3702466579
232	0.9350779351	0.3697133442
233	0.9350779351	0.3683169063
234	0.9357929358	0.3669012684
235	0.9362219362	0.365654455
236	0.9363649364	0.3651541576
237	0.9370799371	0.3641003938
238	0.9376519377	0.3632428354
239	0.9377949378	0.3617300218
240	0.9393679394	0.3604091535
